year,title,published_at,updated_at,category,nominee,artist,workers,img,winner,nominee_length
1981,24th Annual GRAMMY Awards  (1981),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,best arrangement on an instrumental recording,Velas,Desconocido,"Quincy Jones & Johnny Mandel, arrangers (Quincy Jones)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Quincy%2BJones/Quincy%2520Jones_1_1_1596789836.jpg?itok=54PdILuC,True,5
1981,24th Annual GRAMMY Awards  (1981),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,best instrumental arrangement accompanying vocal(s),Ai No Corrida,Desconocido,"Jerry Hey & Quincy Jones, arrangers (Quincy Jones)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Quincy%2BJones/Quincy%2520Jones_1_1_1596789836.jpg?itok=54PdILuC,True,13
1981,24th Annual GRAMMY Awards  (1981),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,best vocal arrangement for two or more voices,A Nightingale Sang In Berkeley Square,Desconocido,"Gene Puerling, arranger (The Manhattan Transfer)",Desconocido,True,37
1981,24th Annual GRAMMY Awards  (1981),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,best album package,Tattoo You,Desconocido,"Peter Corriston, art director (The Rolling Stones)",Desconocido,True,10
1981,24th Annual GRAMMY Awards  (1981),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,best album notes,Erroll Garner - Master Of The Keyboard,Desconocido,"Dan Morgenstern, album notes writer (Erroll Garner)",Desconocido,True,38
1981,24th Annual GRAMMY Awards  (1981),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,best historical album,Hoagy Carmichael - From Stardust To Ole Buttermilk Sky,Desconocido,(Hoagy Carmichael),Desconocido,True,54
1981,24th Annual GRAMMY Awards  (1981),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,best engineered recording - non-classical,Gaucho,Desconocido,"Jerry Garszva, Roger Nichols, Elliot Scheiner & Bill Schnee, engineers (Steely Dan)",Desconocido,True,6
1981,24th Annual GRAMMY Awards  (1981),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,producer of the year,Quincy Jones,Desconocido,Desconocido,Desconocido,True,12
1981,24th Annual GRAMMY Awards  (1981),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,best classical album,Mahler: Symphony No. 2 In C Minor,Desconocido,"Georg Solti, artist; James Mallinson, producer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/georgsolti-spotlight-78824961.png?itok=rNrB7-r2,True,33
1981,24th Annual GRAMMY Awards  (1981),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,best classical orchestral recording,Mahler: Symphony No. 2 In C Minor,Desconocido,"Georg Solti, conductor (Chicago Symphony Orchestra)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/georgsolti-spotlight-78824961.png?itok=rNrB7-r2,True,33
1981,24th Annual GRAMMY Awards  (1981),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,best opera recording,Janácek: From The House Of The Dead,Desconocido,"Jiri Zahradnicek, Ivo Zidek & Vaclav Zitek; Charles Mackerras, conductor; James Mallinson, producer (Vienna Philharmonic Orchestra)",Desconocido,True,35
1979,22nd Annual GRAMMY Awards  (1979),2017-11-28T00:03:45-08:00,2019-09-10T01:11:09-07:00,best new artist,Rickie Lee Jones,Rickie Lee Jones,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/rickie_lee_jones.png?itok=kewxJNnl,True,16
1981,24th Annual GRAMMY Awards  (1981),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,best choral performance (other than opera),Haydn: The Creation,Desconocido,"Neville Marriner, conductor (Chorus of St. Martin-In-The-Fields; Academy Of St. Martin-In-The-Fields)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Neville%2BMarriner/Neville%2520Marriner_1_1_1597163031.jpg?itok=S02vE76M,True,19
1981,24th Annual GRAMMY Awards  (1981),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,best chamber music performance,Tchaikovsky: Piano Trio In A Minor,Desconocido,"Vladimir Ashkenazy, Lynn Harrell & Itzhak Perlman, artists",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Vladimir%2BAshkenazy/Vladimir%2520Ashkenazy_1_1_1581558450.jpg?itok=GPn9fhiw,True,34
